참조표준명,지역,성별,나이(세),고혈압약복용자포함여부,측정값평균(mmHg),확장불확도(mmHg),측정수(건),표준편차(mmHg),1분위수(Percentile),5분위수(Percentile),10분위(Percentile),25분위(Percentile),50분위(Percentile),75분위(Percentile),90분위(Percentile),95분위(Percentile),99분위(Percentile)
수축기,서울,여성,69~70세,포함,129,36,29686,14,97,106,111,120,130,138,148,154,167
수축기,서울,여성,71~72세,포함,130,35,24932,14,97,107,112,121,130,139,149,154,168
수축기,서울,여성,73~74세,포함,131,36,18813,14,98,108,113,122,131,140,150,155,168
수축기,서울,여성,75세이상,포함,133,37,52059,15,99,110,115,124,133,142,152,159,174
수축기,부산,남성,20~24세,포함,118,31,8775,11,93,100,104,110,118,126,133,138,148
수축기,부산,남성,25~26세,포함,119,31,9112,11,94,100,105,110,118,126,134,138,150
수축기,부산,남성,27~28세,포함,119,31,12061,12,94,100,105,110,118,127,134,138,150
수축기,부산,남성,29~30세,포함,120,31,12594,12,94,100,106,110,119,128,135,138,151
수축기,부산,남성,31~32세,포함,120,32,12911,12,95,100,106,110,119,128,135,139,152
수축기,부산,남성,33~34세,포함,121,32,13593,12,94,100,106,112,119,130,136,140,156
수축기,부산,남성,35~36세,포함,121,33,15449,13,94,100,107,112,120,130,137,140,160
수축기,부산,남성,37~38세,포함,121,33,17424,13,96,100,108,112,120,130,138,140,160
수축기,부산,남성,39~40세,포함,122,33,20290,13,94,100,107,112,120,130,138,143,160
수축기,부산,남성,41~42세,포함,122,34,17754,13,94,100,107,112,120,130,138,143,160
수축기,부산,남성,43~44세,포함,122,34,18335,13,94,100,106,112,120,130,138,144,160
수축기,부산,남성,45~46세,포함,122,34,19833,14,94,100,106,112,120,130,138,145,160
수축기,부산,남성,47~48세,포함,122,34,19895,14,94,100,106,113,120,130,139,145,160
수축기,부산,남성,49~50세,포함,122,35,19635,14,92,100,106,112,120,130,139,145,160
수축기,부산,남성,51~52세,포함,122,34,18370,14,94,100,106,112,120,130,139,146,160
수축기,부산,남성,53~54세,포함,122,35,17904,14,94,100,106,112,120,130,139,146,161
수축기,부산,남성,55~56세,포함,123,35,18991,14,92,100,106,112,120,130,139,146,160
수축기,부산,남성,57~58세,포함,123,35,21278,14,93,100,106,113,120,131,140,148,163
수축기,부산,남성,59~60세,포함,123,35,21510,14,92,100,107,113,121,132,140,149,160
수축기,부산,남성,61~62세,포함,123,35,19489,14,93,100,106,114,122,132,140,148,162
수축기,부산,남성,63~64세,포함,124,35,18298,14,92,100,107,114,122,132,140,149,161
수축기,부산,남성,65~66세,포함,124,36,15002,14,94,100,108,114,123,134,142,150,163
수축기,부산,남성,67~68세,포함,125,36,12542,15,93,102,108,115,124,134,142,150,164
수축기,부산,남성,69~70세,포함,126,36,12205,15,94,102,109,116,125,135,144,150,164
수축기,부산,남성,71~72세,포함,126,36,9940,15,95,103,109,116,125,135,145,150,164
수축기,부산,남성,73~74세,포함,127,36,7771,15,95,104,110,116,126,136,146,152,166
수축기,부산,남성,75세이상,포함,127,37,22025,15,94,103,110,117,126,136,146,153,167
수축기,부산,여성,20~24세,포함,110,29,13296,10,90,93,98,103,110,118,123,128,137
수축기,부산,여성,25~26세,포함,110,29,11535,10,90,92,98,102,110,117,122,128,138
수축기,부산,여성,27~28세,포함,110,29,11906,10,90,93,98,102,110,117,122,128,138
수축기,부산,여성,29~30세,포함,110,30,11069,11,90,92,97,102,110,117,123,129,138
수축기,부산,여성,31~32세,포함,110,30,9866,11,90,92,97,102,110,117,122,129,138
수축기,부산,여성,33~34세,포함,111,30,8981,11,90,92,97,102,110,118,124,130,140
수축기,부산,여성,35~36세,포함,111,31,10124,11,90,92,98,103,110,118,125,130,140
수축기,부산,여성,37~38세,포함,111,31,11092,12,90,92,97,103,110,118,125,131,143
수축기,부산,여성,39~40세,포함,113,32,17511,12,90,94,98,104,112,119,129,134,149
수축기,부산,여성,41~42세,포함,113,32,16236,12,90,94,98,104,112,119,130,135,149
수축기,부산,여성,43~44세,포함,114,33,17628,13,90,94,99,105,113,120,130,137,150
수축기,부산,여성,45~46세,포함,115,34,19237,13,90,94,100,106,114,121,131,138,152
수축기,부산,여성,47~48세,포함,115,34,20357,13,90,95,100,107,114,123,132,138,154
수축기,부산,여성,49~50세,포함,116,35,21255,14,90,96,100,107,116,125,135,140,157
수축기,부산,여성,51~52세,포함,117,35,20686,14,90,96,100,108,116,125,135,140,156
수축기,부산,여성,53~54세,포함,117,35,21086,14,90,96,100,108,116,126,136,140,158
수축기,부산,여성,55~56세,포함,118,35,22512,14,90,96,100,109,117,127,136,141,158
수축기,부산,여성,57~58세,포함,118,35,26572,14,90,97,100,110,118,128,137,142,160
수축기,부산,여성,59~60세,포함,119,35,25445,14,90,98,100,110,118,129,138,144,159
수축기,부산,여성,61~62세,포함,120,35,23424,14,90,98,101,110,118,130,138,144,158
수축기,부산,여성,63~64세,포함,121,35,21677,14,90,100,103,110,119,130,139,146,160
수축기,부산,여성,65~66세,포함,122,36,18751,15,90,100,104,112,120,131,140,147,160
수축기,부산,여성,67~68세,포함,123,36,14945,15,92,100,106,113,121,132,141,149,161
수축기,부산,여성,69~70세,포함,124,36,14208,15,93,100,107,114,123,134,143,150,164
수축기,부산,여성,71~72세,포함,125,36,11184,15,94,102,109,116,124,134,144,150,164
수축기,부산,여성,73~74세,포함,126,36,8630,15,95,102,109,116,125,136,145,151,166
수축기,부산,여성,75세이상,포함,127,37,23081,15,96,104,110,118,127,137,148,154,169
수축기,대구,남성,20~24세,포함,119,31,5730,12,94,100,105,110,118,128,135,138,147
수축기,대구,남성,25~26세,포함,120,31,5227,11,96,100,106,112,119,128,135,138,150
수축기,대구,남성,27~28세,포함,120,31,6799,11,95,100,106,112,120,129,135,138,150
수축기,대구,남성,29~30세,포함,121,31,7079,12,96,102,106,113,120,130,136,139,152
수축기,대구,남성,31~32세,포함,121,32,6847,12,96,102,108,113,120,130,136,139,155
수축기,대구,남성,33~34세,포함,122,32,7221,12,97,103,108,114,120,130,138,140,157
수축기,대구,남성,35~36세,포함,123,32,7654,12,98,104,109,114,121,130,138,141,160
수축기,대구,남성,37~38세,포함,123,32,8520,12,98,104,109,115,121,130,138,142,158
수축기,대구,남성,39~40세,포함,123,33,9845,13,98,104,109,115,122,130,138,144,160
수축기,대구,남성,41~42세,포함,123,33,8902,13,96,103,109,115,122,130,138,144,160
수축기,대구,남성,43~44세,포함,123,33,9450,13,97,103,108,115,122,130,139,145,160
수축기,대구,남성,45~46세,포함,123,34,9956,13,96,103,108,115,122,131,139,145,160
수축기,대구,남성,47~48세,포함,124,34,10041,13,97,103,109,115,122,131,139,147,160
수축기,대구,남성,49~50세,포함,124,34,9996,14,96,103,108,115,123,132,140,147,161
수축기,대구,남성,51~52세,포함,124,34,9179,14,96,103,108,115,123,132,140,148,160
수축기,대구,남성,53~54세,포함,124,35,8795,14,96,102,108,115,124,133,140,149,162
수축기,대구,남성,55~56세,포함,125,35,9097,14,94,103,109,115,124,133,140,150,161
수축기,대구,남성,57~58세,포함,125,35,9476,14,95,103,109,116,125,134,142,150,163
수축기,대구,남성,59~60세,포함,125,35,9200,14,96,103,109,116,125,134,142,150,163
수축기,대구,남성,61~62세,포함,126,35,8198,14,96,102,110,116,126,135,144,150,164
수축기,대구,남성,63~64세,포함,127,35,7387,14,96,104,110,117,127,136,144,150,166
수축기,대구,남성,65~66세,포함,128,36,6316,15,97,105,110,118,128,137,146,153,168
수축기,대구,남성,67~68세,포함,128,35,5284,14,96,105,110,119,129,137,147,153,165
수축기,대구,남성,69~70세,포함,129,36,5014,15,96,106,110,119,129,138,148,154,166
수축기,대구,남성,71~72세,포함,129,36,3813,15,95,105,110,120,130,138,148,155,166
수축기,대구,남성,73~74세,포함,130,36,3058,14,96,106,110,120,130,138,148,154,168
수축기,대구,남성,75세이상,포함,131,38,10169,16,96,106,110,120,130,140,150,158,172
수축기,대구,여성,20~24세,포함,111,30,6927,11,90,93,98,103,110,119,126,130,137
수축기,대구,여성,25~26세,포함,111,30,5670,11,90,93,98,102,110,119,125,130,138
수축기,대구,여성,27~28세,포함,111,31,5571,11,90,92,97,102,110,118,125,130,139
수축기,대구,여성,29~30세,포함,111,31,4687,11,90,92,97,102,110,118,126,130,140
수축기,대구,여성,31~32세,포함,111,31,3901,12,90,92,96,102,110,118,126,130,140
수축기,대구,여성,33~34세,포함,111,31,3737,12,90,92,97,102,110,118,127,131,140
수축기,대구,여성,35~36세,포함,112,32,4184,12,90,94,98,103,110,120,128,133,144
수축기,대구,여성,37~38세,포함,112,33,4462,13,90,93,98,103,111,120,128,134,147
수축기,대구,여성,39~40세,포함,114,33,6980,13,90,95,99,105,113,121,130,135,150
수축기,대구,여성,41~42세,포함,115,33,6935,13,90,95,100,106,114,122,131,136,150
수축기,대구,여성,43~44세,포함,115,34,7584,13,90,96,100,106,114,124,132,138,153
수축기,대구,여성,45~46세,포함,116,34,8351,13,90,96,100,107,116,125,134,139,154
수축기,대구,여성,47~48세,포함,117,34,9018,14,90,97,100,109,117,126,135,140,156
수축기,대구,여성,49~50세,포함,118,35,9723,14,90,97,100,109,118,128,136,141,160
수축기,대구,여성,51~52세,포함,119,35,9481,14,90,98,100,110,118,129,138,142,160
수축기,대구,여성,53~54세,포함,120,35,9796,14,90,98,101,110,119,130,138,144,160
수축기,대구,여성,55~56세,포함,120,36,10265,14,90,99,101,110,120,130,138,144,160
수축기,대구,여성,57~58세,포함,121,36,11343,15,90,100,102,110,120,130,139,147,160
수축기,대구,여성,59~60세,포함,122,36,10900,15,90,100,104,112,121,130,140,148,160
수축기,대구,여성,61~62세,포함,124,36,9894,15,92,100,105,114,124,133,140,149,160
수축기,대구,여성,63~64세,포함,125,36,9418,15,92,100,108,115,125,134,143,150,164
수축기,대구,여성,65~66세,포함,126,36,8329,15,93,101,108,117,127,136,145,151,165
수축기,대구,여성,67~68세,포함,128,36,6335,15,94,104,110,118,128,137,147,152,167
수축기,대구,여성,69~70세,포함,130,36,6443,15,96,106,110,120,130,138,150,156,170
수축기,대구,여성,71~72세,포함,130,37,4896,15,96,106,110,120,130,139,150,156,170
수축기,대구,여성,73~74세,포함,131,37,3972,15,98,108,110,120,130,140,150,157,173
수축기,대구,여성,75세이상,포함,133,38,11884,16,99,108,112,121,132,142,153,160,175
수축기,인천,남성,20~24세,포함,120,31,10800,12,96,100,106,112,119,128,135,138,151
수축기,인천,남성,25~26세,포함,121,31,10623,12,97,102,108,113,120,129,136,139,152
수축기,인천,남성,27~28세,포함,122,31,13949,12,97,103,108,114,120,130,137,140,153
수축기,인천,남성,29~30세,포함,123,32,14176,12,99,104,109,115,121,130,138,141,156
수축기,인천,남성,31~32세,포함,123,32,14336,12,99,104,109,115,122,130,138,143,159
수축기,인천,남성,33~34세,포함,124,32,15000,12,100,105,110,116,122,131,138,144,160
수축기,인천,남성,35~36세,포함,124,32,17345,13,100,105,110,116,123,132,139,145,160
수축기,인천,남성,37~38세,포함,124,32,19249,13,100,106,110,117,124,132,139,145,160
수축기,인천,남성,39~40세,포함,124,33,21375,13,100,106,110,116,124,132,139,146,160
수축기,인천,남성,41~42세,포함,124,33,19037,13,99,105,110,116,123,132,139,146,160
수축기,인천,남성,43~44세,포함,125,33,19619,13,98,106,110,116,124,132,139,146,160
수축기,인천,남성,45~46세,포함,125,33,20204,13,98,105,110,117,124,132,140,147,161
수축기,인천,남성,47~48세,포함,125,33,20408,13,98,105,110,117,124,133,140,147,161
수축기,인천,남성,49~50세,포함,125,33,20134,13,98,104,110,116,124,132,140,147,160
수축기,인천,남성,51~52세,포함,125,34,18555,13,97,104,109,117,124,134,140,148,161
수축기,인천,남성,53~54세,포함,125,34,18848,13,98,104,110,117,125,134,140,148,162
수축기,인천,남성,55~56세,포함,126,34,19150,13,97,105,110,118,125,134,141,149,162
수축기,인천,남성,57~58세,포함,126,34,20145,14,97,105,110,118,126,135,141,149,163
수축기,인천,남성,59~60세,포함,126,34,18317,14,96,104,110,118,126,135,143,150,163
수축기,인천,남성,61~62세,포함,127,35,14038,14,97,105,110,118,127,136,143,150,164
수축기,인천,남성,63~64세,포함,127,35,11711,14,97,105,110,118,128,136,144,150,164
수축기,인천,남성,65~66세,포함,128,35,9355,14,97,106,110,118,128,137,145,151,164
수축기,인천,남성,67~68세,포함,128,35,7260,14,96,106,110,119,128,137,145,151,167
수축기,인천,남성,69~70세,포함,129,35,7211,14,98,107,111,119,130,138,148,154,165
수축기,인천,남성,71~72세,포함,129,36,5568,14,98,107,111,119,130,138,148,154,169
수축기,인천,남성,73~74세,포함,129,36,3977,15,98,107,112,119,130,138,148,154,168
수축기,인천,남성,75세이상,포함,131,36,10442,15,96,107,112,120,130,139,150,156,170
수축기,인천,여성,20~24세,포함,112,30,15186,11,90,95,99,105,111,119,126,131,139
수축기,인천,여성,25~26세,포함,112,30,11733,11,90,95,99,104,111,118,125,130,139
수축기,인천,여성,27~28세,포함,112,30,12228,11,90,95,99,104,111,119,126,131,140
수축기,인천,여성,29~30세,포함,112,31,10668,11,90,95,99,104,111,119,127,131,140
수축기,인천,여성,31~32세,포함,113,31,9367,12,90,95,99,104,112,119,127,133,146
수축기,인천,여성,33~34세,포함,113,32,8969,12,90,95,99,105,112,119,128,134,146
수축기,인천,여성,35~36세,포함,113,32,9931,12,90,96,100,105,112,120,129,135,150
수축기,인천,여성,37~38세,포함,114,32,10563,12,90,96,100,106,113,120,130,136,150
수축기,인천,여성,39~40세,포함,115,33,16134,13,90,97,100,107,114,122,131,137,152
수축기,인천,여성,41~42세,포함,116,33,15407,13,90,97,100,107,115,123,132,138,152
수축기,인천,여성,43~44세,포함,117,33,16693,13,90,98,100,108,116,124,134,139,154
수축기,인천,여성,45~46세,포함,117,34,18204,13,90,98,101,108,117,126,135,139,156
수축기,인천,여성,47~48세,포함,119,34,19191,14,90,98,102,110,118,127,136,140,157
수축기,인천,여성,49~50세,포함,120,35,20059,14,90,99,102,110,119,129,138,143,159
수축기,인천,여성,51~52세,포함,120,35,19228,14,90,100,103,110,119,130,138,144,160
수축기,인천,여성,53~54세,포함,121,35,19365,14,91,100,103,111,120,130,138,144,160
수축기,인천,여성,55~56세,포함,121,35,18876,14,91,100,104,111,120,130,138,145,159
수축기,인천,여성,57~58세,포함,122,35,20074,14,92,100,105,112,121,130,139,145,160
수축기,인천,여성,59~60세,포함,123,35,17226,14,93,101,106,114,122,132,140,147,160
수축기,인천,여성,61~62세,포함,124,35,14619,14,93,101,106,115,124,133,140,148,160
수축기,인천,여성,63~64세,포함,125,35,12368,14,94,102,108,116,125,135,143,150,162
수축기,인천,여성,65~66세,포함,127,35,9599,14,95,104,109,118,126,136,144,150,163
수축기,인천,여성,67~68세,포함,127,35,7105,14,95,105,110,118,128,137,146,150,164
수축기,인천,여성,69~70세,포함,129,35,6965,14,97,107,111,119,129,138,148,154,167
수축기,인천,여성,71~72세,포함,130,36,5821,15,97,107,111,120,130,139,148,155,167
수축기,인천,여성,73~74세,포함,130,36,4288,15,97,108,112,120,130,139,150,155,169
수축기,인천,여성,75세이상,포함,133,37,13010,16,98,109,114,122,132,141,152,160,175
수축기,광주,남성,20~24세,포함,118,30,4969,11,92,100,104,110,118,125,133,138,146
수축기,광주,남성,25~26세,포함,119,30,4343,11,96,100,107,111,118,126,134,138,148
수축기,광주,남성,27~28세,포함,120,30,5575,11,96,100,108,111,119,128,134,138,150
수축기,광주,남성,29~30세,포함,120,31,5542,11,97,102,108,112,119,128,134,138,150
수축기,광주,남성,31~32세,포함,121,31,5799,11,98,102,109,113,120,129,136,138,150
수축기,광주,남성,33~34세,포함,121,31,6492,12,97,102,109,112,120,129,136,138,153
수축기,광주,남성,35~36세,포함,121,31,7446,12,97,102,108,113,120,130,136,139,154
수축기,광주,남성,37~38세,포함,121,32,8162,12,98,102,109,113,120,130,137,139,158
수축기,광주,남성,39~40세,포함,122,32,9865,12,98,103,109,114,120,130,138,140,157
수축기,광주,남성,41~42세,포함,122,32,9452,12,97,102,109,114,120,130,138,140,157
수축기,광주,남성,43~44세,포함,122,32,9919,12,96,103,108,114,120,130,138,140,158
수축기,광주,남성,45~46세,포함,122,33,10314,13,97,103,108,114,120,130,138,144,160
수축기,광주,남성,47~48세,포함,122,33,10432,13,96,102,108,113,120,130,138,144,160
수축기,광주,남성,49~50세,포함,123,33,10012,13,95,102,108,114,120,130,138,145,160
수축기,광주,남성,51~52세,포함,123,34,9394,13,95,102,108,114,120,130,139,146,160
수축기,광주,남성,53~54세,포함,123,34,9240,13,96,102,109,115,121,131,139,146,160
수축기,광주,남성,55~56세,포함,124,34,8679,14,96,102,109,116,122,132,140,148,160
수축기,광주,남성,57~58세,포함,125,34,8620,14,95,104,110,116,124,134,140,149,160
수축기,광주,남성,59~60세,포함,126,35,8512,14,96,104,110,117,125,135,142,150,162
수축기,광주,남성,61~62세,포함,127,35,6766,14,98,104,110,118,127,136,144,150,163
수축기,광주,남성,63~64세,포함,127,35,5924,14,98,105,110,118,128,136,145,150,162
수축기,광주,남성,65~66세,포함,129,35,4804,14,99,107,110,119,130,138,146,150,162
수축기,광주,남성,67~68세,포함,129,35,4335,14,98,106,110,119,130,138,148,151,166
수축기,광주,남성,69~70세,포함,130,35,4144,14,100,108,110,120,130,138,148,151,166
수축기,광주,남성,71~72세,포함,130,35,3535,14,97,108,112,120,130,139,148,152,164
수축기,광주,남성,73~74세,포함,131,34,2806,14,100,110,113,120,130,139,149,151,163
수축기,광주,남성,75세이상,포함,131,35,8532,14,100,109,112,120,131,140,150,153,168
수축기,광주,여성,20~24세,포함,111,29,7409,10,90,94,98,103,110,118,124,130,137
수축기,광주,여성,25~26세,포함,110,30,5587,11,90,93,98,102,110,118,122,129,138
수축기,광주,여성,27~28세,포함,111,29,5443,10,90,94,98,103,110,118,122,129,137
수축기,광주,여성,29~30세,포함,111,30,4964,11,90,94,98,103,110,118,124,130,138
수축기,광주,여성,31~32세,포함,111,30,4677,11,90,94,98,103,110,118,125,130,138
수축기,광주,여성,33~34세,포함,111,30,4759,11,90,94,98,104,110,118,124,130,138
수축기,광주,여성,35~36세,포함,112,30,5382,11,90,95,99,104,111,118,125,130,139
